ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
200925_at,COX6A1,1337,1
200946_x_at,GLUD1,2746,1
200947_s_at,GLUD1,2746,1
200954_at,ATP6V0C,527,0
200966_x_at,ALDOA,226,1
200975_at,PPT1,5538,1
200978_at,MDH1,4190,1
200979_at,PDHA1,5160,1
200980_s_at,PDHA1,5160,1
201006_at,PRDX2,7001,0
201007_at,HADHB,3032,1
201013_s_at,PAICS,10606,1
201014_s_at,PAICS,10606,1
201030_x_at,LDHB,3945,1
201035_s_at,HADH,3033,1
201036_s_at,HADH,3033,1
201037_at,PFKP,5214,1
201050_at,PLD3,23646,1
201066_at,CYC1,1537,1
201080_at,PIP4K2B,8396,1
201081_s_at,PIP4K2B,8396,1
201089_at,ATP6V1B2,526,1
201093_x_at,SDHA,6389,1
201102_s_at,PFKL,5211,1
201106_at,GPX4,2879,1
201118_at,PGD,5226,1
201119_s_at,COX8A,1351,1
201127_s_at,ACLY,47,1
201128_s_at,ACLY,47,1
201134_x_at,COX7C,1350,1
201135_at,ECHS1,1892,1
201171_at,ATP6V0E1,8992,0
201172_x_at,ATP6V0E1,8992,1
201193_at,IDH1,3417,1
201195_s_at,SLC7A5,8140,1
201196_s_at,AMD1,262,1
201197_at,AMD1,262,1
201226_at,NDUFB8,4714,1
201227_s_at,NDUFB8,4714,1
201231_s_at,ENO1,2023,1
201239_s_at,SPCS2,9789,1
201240_s_at,SPCS2,9789,1
201242_s_at,ATP1B1,481,1
201243_s_at,ATP1B1,481,1
201249_at,SLC2A1,6513,1
201250_s_at,SLC2A1,6513,1
201251_at,PKM,5315,1
201253_s_at,CDIPT,10423,1
201256_at,COX7A2L,9167,1
201266_at,TXNRD1,7296,1
201272_at,AKR1B1,231,1
201275_at,FDPS,2224,1
201282_at,OGDH,4967,1
201290_at,SEC11A,23478,1
201304_at,NDUFA5,4698,1
201313_at,ENO2,2026,0
201322_at,ATP5B,506,1
201339_s_at,SCP2,6342,1
201347_x_at,GRHPR,9380,1
201348_at,GPX3,2878,1
201397_at,PHGDH,26227,1
201403_s_at,MGST3,4259,1
201413_at,HSD17B4,3295,1
201415_at,GSS,2937,1
201425_at,ALDH2,217,1
201430_s_at,DPYSL3,1809,1
201431_s_at,DPYSL3,1809,1
201432_at,CAT,847,1
201433_s_at,PTDSS1,9791,1
201441_at,COX6B1,1340,1
201463_s_at,TALDO1,6888,1
201467_s_at,NQO1,1728,1
201468_s_at,NQO1,1728,1
201476_s_at,RRM1,6240,1
201477_s_at,RRM1,6240,1
201481_s_at,PYGB,5834,1
201509_at,IDH3B,3420,1
201516_at,SRM,6723,1
201554_x_at,GYG1,2992,1
201562_s_at,SORD,6652,1
201563_at,SORD,6652,1
201568_at,UQCRQ,27089,1
201571_s_at,DCTD,1635,1
201572_x_at,DCTD,1635,1
201577_at,NME1,4830,1
201597_at,COX7A2,1347,1
201598_s_at,INPPL1,3636,1
201599_at,OAT,4942,1
201612_at,ALDH9A1,223,1
201618_x_at,GPAA1,8733,1
201619_at,PRDX3,10935,1
201629_s_at,ACP1,52,1
201630_s_at,ACP1,52,1
201644_at,TSTA3,7264,1
201660_at,ACSL3,2181,1
201661_s_at,ACSL3,2181,1
201662_s_at,ACSL3,2181,1
201673_s_at,GYS1,2997,1
201695_s_at,PNP,4860,1
201704_at,ENTPD6,955,1
201722_s_at,GALNT1,2589,1
201723_s_at,GALNT1,2589,1
201724_s_at,GALNT1,2589,1
201740_at,NDUFS3,4722,1
201754_at,COX6C,1345,1
201761_at,MTHFD2,10797,1
201765_s_at,HEXA,3073,1
201790_s_at,DHCR7,1717,1
201791_s_at,DHCR7,1717,1
201795_at,LBR,3930,1
201801_s_at,SLC29A1,2030,1
201802_at,SLC29A1,2030,1
201804_x_at,TBCB,1155,1
201819_at,SCARB1,949,1
201847_at,LIPA,3988,1
201882_x_at,B4GALT1,2683,0
201883_s_at,B4GALT1,2683,1
201885_s_at,CYB5R3,1727,1
201890_at,RRM2,6241,1
201892_s_at,IMPDH2,3615,1
201900_s_at,AKR1A1,10327,1
201903_at,UQCRC1,7384,1
201913_s_at,COASY,80347,1
201920_at,SLC20A1,6574,1
201931_at,ETFA,2108,1
201944_at,HEXB,3074,1
201963_at,ACSL1,2180,1
201966_at,NDUFS2,4720,1
201968_s_at,PGM1,5236,1
201971_s_at,ATP6V1A,523,1
201972_at,ATP6V1A,523,1
201995_at,EXT1,2131,1
202000_at,NDUFA6,4700,1
202001_s_at,NDUFA6,4700,1
202002_at,ACAA2,10449,0
202003_s_at,ACAA2,10449,0
202004_x_at,SDHC,6391,1
202012_s_at,EXT2,2132,1
202013_s_at,EXT2,2132,1
202022_at,ALDOC,230,1
202025_x_at,ACAA1,30,1
202026_at,SDHD,6392,1
202043_s_at,SMS,6611,1
202053_s_at,ALDH3A2,224,1
202054_s_at,ALDH3A2,224,1
202069_s_at,IDH3A,3419,1
202070_s_at,IDH3A,3419,1
202077_at,NDUFAB1,4706,1
202090_s_at,UQCR11,10975,1
202108_at,PEPD,5184,1
202110_at,COX7B,1349,1
202111_at,SLC4A2,6522,1
202139_at,AKR7A2,8574,1
202144_s_at,ADSL,158,1
202148_s_at,PYCR1,5831,1
202175_at,CHPF,79586,1
202197_at,MTMR3,8897,1
202198_s_at,MTMR3,8897,1
202201_at,BLVRB,645,1
202218_s_at,FADS2,9415,1
202219_at,SLC6A8,6535,1
202223_at,STT3A,3703,1
202234_s_at,SLC16A1,6566,1
202235_at,SLC16A1,6566,1
202236_s_at,SLC16A1,6566,1
202245_at,LSS,4047,1
202263_at,CYB5R1,51706,1
202275_at,G6PD,2539,1
202277_at,SPTLC1,10558,1
202278_s_at,SPTLC1,10558,1
202282_at,HSD17B10,3028,1
202298_at,NDUFA1,4694,1
202309_at,MTHFD1,4522,1
202321_at,GGPS1,9453,1
202322_s_at,GGPS1,9453,1
202325_s_at,ATP5J,522,1
202326_at,EHMT2,10919,1
202331_at,BCKDHA,593,1
202338_at,TK1,7083,1
202343_x_at,COX5B,1329,1
202345_s_at,FABP5,2171,1
202366_at,ACADS,35,0
202382_s_at,GNPDA1,10007,1
202419_at,KDSR,2531,1
202422_s_at,ACSL4,2182,1
202427_s_at,MPC2,25874,1
202428_x_at,DBI,1622,1
202434_s_at,CYP1B1,1545,0
202435_s_at,CYP1B1,1545,1
202436_s_at,CYP1B1,1545,1
202437_s_at,CYP1B1,1545,1
202438_x_at,IDS,3423,1
202439_s_at,IDS,3423,1
202447_at,DECR1,1666,1
202459_s_at,LPIN2,9663,1
202460_s_at,LPIN2,9663,1
202464_s_at,PFKFB3,5209,1
202471_s_at,IDH3G,3421,1
202472_at,MPI,4351,1
202481_at,DHRS3,9249,1
202497_x_at,SLC2A3,6515,0
202498_s_at,SLC2A3,6515,0
202499_s_at,SLC2A3,6515,1
202502_at,ACADM,34,1
202528_at,GALE,2582,1
202532_s_at,DHFR,1719,1
202533_s_at,DHFR,1719,1
202534_x_at,DHFR,1719,1
202539_s_at,HMGCR,3156,1
202540_s_at,HMGCR,3156,1
202587_s_at,AK1,203,1
202588_at,AK1,203,0
202589_at,TYMS,7298,1
202605_at,GUSB,2990,1
202607_at,NDST1,3340,1
202608_s_at,NDST1,3340,1
202613_at,CTPS1,1503,1
202671_s_at,PDXK,8566,1
202675_at,SDHB,6390,1
202679_at,NPC1,4864,1
202698_x_at,COX4I1,1327,1
202703_at,DUSP11,8446,1
202706_s_at,UMPS,7372,1
202707_at,UMPS,7372,0
202715_at,CAD,790,1
202721_s_at,GFPT1,2673,1
202722_s_at,GFPT1,2673,1
202735_at,EBP,10682,1
202743_at,PIK3R3,8503,1
202744_at,SLC20A2,6575,1
202752_x_at,SLC7A8,23428,0
202767_at,ACP2,53,1
202772_at,HMGCL,3155,1
202780_at,OXCT1,5019,1
202783_at,NNT,23530,1
202784_s_at,NNT,23530,1
202785_at,NDUFA7,4701,1
202789_at,PLCG1,5335,1
202794_at,INPP1,3628,1
202797_at,SACM1L,22908,1
202800_at,SLC1A3,6507,1
202804_at,ABCC1,4363,0
202805_s_at,ABCC1,4363,1
202812_at,GAA,2548,1
202825_at,SLC25A4,291,1
202830_s_at,SLC37A4,2542,1
202831_at,GPX2,2877,0
202838_at,FUCA1,2517,0
202839_s_at,NDUFB7,4713,1
202844_s_at,RALBP1,10928,1
202845_s_at,RALBP1,10928,1
202846_s_at,PIGC,5279,1
202847_at,PCK2,5106,1
202850_at,ABCD3,5825,0
202854_at,HPRT1,3251,1
202862_at,FAH,2184,1
202872_at,ATP6V1C1,528,1
202873_at,ATP6V1C1,528,1
202874_s_at,ATP6V1C1,528,1
202888_s_at,ANPEP,290,1
202915_s_at,FAM20B,9917,1
202916_s_at,FAM20B,9917,1
202922_at,GCLC,2729,1
202923_s_at,GCLC,2729,1
202930_s_at,SUCLA2,8803,1
202934_at,HK2,3099,1
202941_at,NDUFV2,4729,1
202942_at,ETFB,2109,1
202943_s_at,NAGA,4668,1
202944_at,NAGA,4668,1
202945_at,FPGS,2356,1
202959_at,MUT,4594,1
202960_s_at,MUT,4594,1
202990_at,PYGL,5836,1
202991_at,STARD3,10948,1
202997_s_at,LOXL2,4017,1
202998_s_at,LOXL2,4017,1
202999_s_at,LOXL2,4017,0
203006_at,INPP5A,3632,1
203011_at,IMPA1,3612,1
203027_s_at,MVD,4597,1
203031_s_at,UROS,7390,1
203032_s_at,FH,2271,1
203033_x_at,FH,2271,1
203039_s_at,NDUFS1,4719,1
