#ID_REF = 
#VALUE = linear expression value; rma
#ABS_CALL = MAS 5.0 absolute detection
ID_REF	VALUE	ABS_CALL
201105_at	7994.61	P
201106_at	2783.47	P
201107_s_at	608.88	P
201108_s_at	2506.02	P
201109_s_at	2241.24	P
201110_s_at	1305.33	P
201111_at	1711.83	P
201112_s_at	4398.21	P
201113_at	1986.04	P
201114_x_at	4191.42	P
201115_at	1023.5	P
201116_s_at	400.74	P
201117_s_at	199.93	P
201118_at	1071.15	P
201119_s_at	3657.05	P
201120_s_at	1037.87	P
201121_s_at	1500.97	P
201122_x_at	2814.92	P
201123_s_at	5694.02	P
201124_at	43.32	P
201125_s_at	460.73	P
201126_s_at	467.8	P
201127_s_at	546.37	P
201128_s_at	2510.27	P
201129_at	949.29	P
201130_s_at	18.2	A
201131_s_at	18.66	P
201132_at	714.7	P
201133_s_at	622.31	P
201134_x_at	4271.27	P
201135_at	1909.83	P
201136_at	1954.92	P
201137_s_at	71.84	A
201138_s_at	1375.89	P
201139_s_at	1098.37	P
201140_s_at	493.04	P
201141_at	17.17	A
201142_at	846.87	P
201143_s_at	486.69	P
201144_s_at	1716.87	P
201145_at	1708.37	P
201146_at	1071.23	P
201147_s_at	243.5	P
201148_s_at	175.33	P
201149_s_at	270.83	P
201150_s_at	268.36	P
201151_s_at	417.63	P
201152_s_at	1000.79	P
201153_s_at	982.44	P
201154_x_at	8245.91	P
201155_s_at	577.41	P
201156_s_at	758.04	P
201157_s_at	1109.26	P
201158_at	213.05	P
201159_s_at	135.53	P
201160_s_at	3087.35	P
201161_s_at	2748.59	P
201162_at	5036.29	P
201163_s_at	3546.76	P
201164_s_at	839.38	P
201165_s_at	777.52	P
201166_s_at	1471.5	P
201167_x_at	542.2	P
201168_x_at	767.32	P
201169_s_at	141.5	P
201170_s_at	434.4	P
201171_at	23.17	P
201172_x_at	1513.41	P
201173_x_at	1402.5	P
201174_s_at	528.63	P
201175_at	1102.75	P
201176_s_at	1543.69	P
201177_s_at	1457.66	P
201178_at	765.12	P
201179_s_at	834.58	P
201180_s_at	2384.28	P
201181_at	231.52	P
201182_s_at	493.81	P
201183_s_at	933.27	P
201184_s_at	669.14	P
201185_at	362.76	P
201186_at	259.73	P
201187_s_at	51.66	A
201188_s_at	238.59	P
201189_s_at	542.55	P
201190_s_at	493.55	P
201191_at	373.23	P
201192_s_at	491.32	P
201193_at	740.35	P
201194_at	1019.69	P
201195_s_at	2391.05	P
201196_s_at	798.41	P
201197_at	973.71	P
201198_s_at	1299.82	P
201199_s_at	1342.41	P
201200_at	523.79	P
201201_at	2107.49	P
201202_at	4449.4	P
201203_s_at	283.6	P
201204_s_at	661.03	P
201205_at	33.7	M
201206_s_at	391.64	P
201207_at	879.66	P
201208_s_at	366.25	P
201209_at	1683.59	P
201210_at	1880.87	P
201211_s_at	502.5	P
201212_at	501.14	P
201213_at	77.38	P
201214_s_at	418.59	P
201215_at	2941.2	P
201216_at	1361.28	P
201217_x_at	7745.5	P
201218_at	1338.05	P
201219_at	283.07	P
201220_x_at	1919.23	P
201221_s_at	1155.69	P
201222_s_at	2642.35	P
201223_s_at	1250.49	P
201224_s_at	422.51	P
201225_s_at	1228.47	P
201226_at	1581.61	P
201227_s_at	1769.96	P
201228_s_at	104.73	P
201229_s_at	338.47	P
201230_s_at	253.48	P
201231_s_at	6257.65	P
201232_s_at	734.61	P
201233_at	321.67	P
201234_at	1053.98	P
201235_s_at	98.21	P
201236_s_at	198.84	P
201237_at	469.14	P
201238_s_at	1313.37	P
201239_s_at	1937.96	P
201240_s_at	2474.78	P
201241_at	1314.5	P
201242_s_at	1268.36	P
201243_s_at	1008.41	P
201244_s_at	695.2	P
201245_s_at	812.54	P
201246_s_at	290.78	P
201247_at	258.63	P
201248_s_at	280.87	P
201249_at	23.12	M
201250_s_at	307.29	P
201251_at	4334.11	P
201252_at	1081.59	P
201253_s_at	2080.76	P
201254_x_at	9351.71	P
201255_x_at	1009.78	P
201256_at	954.12	P
201257_x_at	8655.69	P
201258_at	5971.32	P
201259_s_at	806.89	P
201260_s_at	498.96	P
201261_x_at	227.87	P
201262_s_at	161.6	P
201263_at	1673.57	P
201264_at	1352.16	P
201265_at	19.59	A
201266_at	3498.81	P
201267_s_at	2379.73	P
201268_at	4231.27	P
201269_s_at	33.04	P
201270_x_at	362.45	P
201271_s_at	864.98	P
201272_at	1362.62	P
201273_s_at	3751.78	P
201274_at	1485	P
201275_at	1624.09	P
201276_at	275.84	P
201277_s_at	5162.9	P
201278_at	839.14	P
201279_s_at	897.72	P
201280_s_at	688.59	P
201281_at	1274.76	P
201282_at	285.37	P
201283_s_at	59.67	P
201284_s_at	400.67	P
201285_at	503.77	P
201286_at	310.22	P
201287_s_at	801.67	P
201288_at	339.68	P
201289_at	2695.14	P
201290_at	3037.52	P
201291_s_at	2711.83	P
201292_at	1678.17	P
201293_x_at	10182.38	P
201294_s_at	132.61	P
201295_s_at	75.61	P
201296_s_at	444.91	P
201297_s_at	339.27	P
201298_s_at	1069.99	P
201299_s_at	538.07	P
201300_s_at	1521.12	P
201301_s_at	378.33	P
201302_at	307.13	P
201303_at	2790.69	P
201304_at	563.9	P
201305_x_at	3798.12	P
201306_s_at	5463.13	P
201307_at	779.67	P
201308_s_at	214.41	P
201309_x_at	231.54	P
201310_s_at	679.67	P
